batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,1,,"viral, foryou",,709400,5975,46600,26700,-1
1,5,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,988500,4655,80600,6244,-1
1,6,,"@tragicthegreat, fortnite, fortnitefail, fortnitefunny, fortnitechapter5, fyp",,572700,4961,80600,9297,-1
2,1,,,,4900000,51300,238500,91800,-1
2,5,,"fyp, 4u, relatable, viral, emo, 08, tgcf, obeymeshallwedate, genshinimpact, highschool",,857600,8189,95400,6472,-1
2,6,,"fyp%E3%82%B7, thegrinch, twins, finalsweek",,123200,485,15000,1329,-1
2,7,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE_%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0",,1300000,5388,175100,32100,-1
2,12,,"ogfortnite, victoryroyale, fyp, holidayseason",,380000,3522,29100,4766,-1
2,13,,"capcut, funny, funnyvideos, meme, funnyvideo, trending, viral, fyp",,23600,142,2230,214,-1
2,16,,"generations, generation, fyp, fyp%E3%82%B7, foryou, trending, fish, fishing, fishtok",,113200,5951,5999,1693,-1
2,18,,"joshhutcherson, fivenightsatfreddy",harry.daniels,12800000,138300,1200000,253100,-1
2,19,,"fyp, fyp%E3%82%B7, relatable, recommendations, jakewebber, pookie, cute",,1500000,54500,200300,49800,-1
2,20,,"grateful, barber, atl, viral, fyp, haircut, explore, funny, lineup, fade, prank, locs, dreads, tjwatkins01, 441kj",,907200,2361,108600,2588,-1
2,21,,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",,310600,3943,16900,4180,-1
2,22,,"randomfacts, learnontiktok, factsyoudidntknow, random, fact, curiosities, satisfying, relaxing",,254800,25100,23500,226400,-1
2,26,,"frenchtoast, cooking, viral, fyp",,550600,971,72800,1929,-1
