sound,year,video_id,video_timestamp,video_duration,video_likecount,video_commentcount,video_sharecount,video_playcount,video_description,suggested_words,author_username,author_name,author_bio,author_followercount,author_likecounts,video_stickers,video_is_ad,video_locationcreated
dropittothefloor,2023.0,7336256981956709674,2024-02-16T12:44:43,31.0,567800.0,1182.0,955.0,4100000.0,Quality brought to you by my iPhone 4 😭 #onthisday #wopchallenge #2013 #throwbacksongs #millenialsoftiktok #zillenials ,,.itsamaddoglife,,,,,,False,US
dropittothefloor,2023.0,7277401218396327214,2023-09-10T23:13:41,15.0,448900.0,1042.0,7318.0,3500000.0,WOP WOP WOPPPP 😭🔥 #fyp #viral #viraltiktok #worldwide #blowthisup #fypシ゚viral ,,3lilxhriss_,,,,,,False,US
dropittothefloor,2023.0,7303322276194159878,2023-11-19T18:40:29,19.0,615500.0,3951.0,7545.0,18000000.0,AHORA UN Vs✌🏻#jeffstar #dance ,,__jeffstar__,Jeffstar,𝗚𝗼𝗱 𝗳𝗶𝗿𝘀𝘁🙏🏼   🇻🇪📍,3600000.0,40000000.0,,False,VE
dropittothefloor,2023.0,7306481120579816722,2023-11-28T06:58:28,16.0,2200000.0,14000.0,15100.0,17100000.0,wiggle wiggle 🐶😺  #aespa #에스파 #KARINA #카리나 #WINTER #윈터 ,"winter aespa, winrina, aespa, wiggle wiggle, wiggle wiggle trend jennie, aespa official, ningning aespa, fuji wiggle wiggle, aespa drama, Giselle Aespa",aespa_official,,,,,,False,KR
dropittothefloor,2023.0,7272842559431609646,2023-08-29T16:23:56,36.0,1200000.0,12500.0,92700.0,13400000.0,Replying to @ashleymartinez9877  ngl this is fun to dance tag them 🔥✨@Slim 199x  #fyp #dance #disability #treachercollinssyndrome #nohate #love ,,alr.bxmbi,,,,,,False,US
dropittothefloor,2023.0,7285039554418052384,2023-10-01T13:14:15,35.0,1600000.0,6553.0,24500.0,11700000.0,When your mum is EXTRA #momsoftiktok #fyp #momanddaughter #funnyvideos ,,amournikky,,,,,,False,GB
dropittothefloor,2023.0,7292185319720619310,2023-10-20T19:23:36,6.0,1500000.0,3194.0,1806.0,31900000.0,😨😨😨 #friends #humor,,anitadinamitawtw,,,,,,False,US
dropittothefloor,2023.0,7311629066707143941,2023-12-12T03:55:05,22.0,17000000.0,128000.0,651900.0,112800000.0,Cookie Wop Wop 🤣 #fyp #fypシ #foryou #wopchallenge #cookies #dance #foodie #baked_ish ,"Cookies, wopwopwop challenge, woop woop, cookies recipes, how to make cookies, Christmas Cookies, chocolate chips cookies, bakedish, peanut butter cookies, Oatmeal Cookies",bakedish,,,,,,False,PH
dropittothefloor,2023.0,7335766956340989190,2024-02-15T05:02:26,22.0,1800000.0,9126.0,42900.0,9800000.0,Cupcake wop wop 🤣 #fyp #foryou #foryoupage #fypシ #wopchallenge #cupcake #dance #foodie #baked_ish ,"woop woop dance cookies, woop woop, cupcake woop woop, cookies woop woop, woop woop dance jennie, Cupcakes, baking, Cake In A Cup, cupcake cakes, Making Cupcakes",bakedish,,,,,,False,PH
dropittothefloor,2023.0,7282806707208654122,2023-09-25T12:49:52,15.0,395100.0,1443.0,4317.0,5100000.0,So true 😭 @BFFs Pod (via:@Sid Wag) ,,barstoolsports,Barstool Sports,🗣 Viva La Stool  Check Out All Of Our Merch Below ⬇️,37200000.0,7900000000.0,,False,US
