sound,year,video_id,video_timestamp,video_duration,video_likecount,video_commentcount,video_sharecount,video_playcount,video_description,suggested_words,author_username,author_name,author_bio,author_followercount,author_likecounts,video_stickers,video_is_ad,video_locationcreated
sweaterweather,2022.0,7144342799310277893,2022-09-17T09:38:59,15.0,93400.0,480.0,949.0,660300.0,boy and girl edition !!💝 #fyp #duo #bitmoji #foryou #foryoupage #boyfriend #autumn #halloween #october #girlfriend,,..bitmoji_girl_,,,,,,False,GB
sweaterweather,2022.0,7157399646468427050,2022-10-22T14:06:19,45.0,104300.0,457.0,573.0,971300.0,Ayanogod carried them to victory😩 #classroomoftheelite #ayanokouji #anime #animeedit #amv #ayanokoujikiyotaka #a #ayanokoujiedit #ayanokojiedit #manipulation #manipulator #fyp #fypシ #foryou #foryoupage #marrymeayanokouji #viral #onisqd #4k ,,._dark.sun._,,,,,,False,US
sweaterweather,2022.0,7159751244431641861,2022-10-28T22:11:41,9.0,71300.0,172.0,1654.0,601900.0,Melo 🥶#09_crosovers #hyp #parati #lameloballedit #charlottehornets ,,09_crosovers,,,,,,False,DO
sweaterweather,2022.0,7137504481993821445,2022-08-29T23:22:51,6.0,240800.0,1566.0,4796.0,1100000.0,22:21,,22h....01mn,,,,,,False,BR
sweaterweather,2022.0,7134173227831627054,2022-08-20T23:55:47,14.0,122900.0,544.0,568.0,756100.0,#ColorCustomizer ,,2prettydayanis_,,,,,,False,US
sweaterweather,2022.0,7147634327637986565,2022-09-26T06:31:48,12.0,159700.0,359.0,426.0,1100000.0,#fakebody⚠️⚠️⚠️❌❌⚠️ #gym en vd son etapas pero weno tengo salud,,444clodi,,,,,,False,ES
sweaterweather,2022.0,7158565677211684101,2022-10-25T17:31:01,9.0,121300.0,425.0,1376.0,1300000.0,#memeschrisowo #memeslatinos👍 #memesbr #ramdomvideos ,,_chrisyork,,,,,,False,HN
sweaterweather,2022.0,7135661930013789482,2022-08-25T00:12:43,29.0,74000.0,264.0,43.0,495800.0,Dont skip leg day,,_itsnate,,,,,,False,US
sweaterweather,2022.0,7149608858380438826,2022-10-01T14:14:02,13.0,155100.0,717.0,1142.0,732600.0,been shadow banned:( #fyp  #foryou #EndlessJourney ,,_maddawgie,,,,,,False,US
sweaterweather,2022.0,7158455301165878533,2022-10-25T10:22:39,27.0,121200.0,466.0,2326.0,913700.0,"Todos quieren hacer una sentdilla, pero nadie quiere prepararse para ella. #gym #foryou #fitness #powerlifting ",,_marioobeso,,,,,,False,MX
